date,price_usd,usd_to_eur,market_sentiment
2010-01-01,1102.533570765056,0.8705419384125607,positive
2010-01-02,1101.8922492592003,0.8514782073903653,neutral
2010-01-03,1105.1806919497037,0.8358373114065939,negative
2010-01-04,1112.8458412317439,0.8435722361710005,positive
2010-01-05,1111.7250743581271,0.84541123154975,neutral
2010-01-06,1110.6043895733812,0.8398241522278662,negative
2010-01-07,1118.5504536509181,0.8586018263839515,negative
2010-01-08,1122.4376272966826,0.8581026004437533,neutral
2010-01-09,1120.140255367008,0.8384454820618233,positive
2010-01-10,1122.9030555849379,0.857250810444475,negative
2010-01-11,1120.6359671208754,0.8652681266357727,positive
2010-01-12,1118.3573183530243,0.8690255820522956,neutral
2010-01-13,1119.6171297108544,0.8786521202308596,positive
2010-01-14,1110.1007284875654,0.840980073505568,negative
2010-01-15,1101.5261393250003,0.878242204263952,neutral
2010-01-16,1098.7647016787953,0.846457936114912,negative
2010-01-17,1093.7505460771233,0.8440753454461948,negative
2010-01-18,1095.3717827400997,0.8532707237487784,neutral
2010-01-19,1090.8816623624937,0.8441793866590699,neutral
2010-01-20,1083.870143855817,0.8539904414064652,positive
2010-01-21,1091.248387700425,0.836799228122627,neutral
2010-01-22,1090.1695061979922,0.8476124739793657,positive
2010-01-23,1090.5571472214317,0.8628558223436168,neutral
2010-01-24,1083.4834062903644,0.8494293870856884,negative
2010-01-25,1080.8114926677385,0.8514159578673988,positive
2010-01-26,1081.416105616288,0.8547525860471731,neutral
2010-01-27,1075.7111377291765,0.8617066162931766,positive
2010-01-28,1077.6396278209047,0.8334477528781057,positive
2010-01-29,1074.6864343713107,0.8558452405183743,positive
2010-01-30,1073.2779656223445,0.8473186086075823,negative
2010-01-31,1070.3194325611973,0.8516663789531184,neutral
2010-02-01,1079.630823483742,0.8605995016976238,neutral
2010-02-02,1079.6133373600524,0.8380581334858815,positive
2010-02-03,1074.3747827152729,0.8398735555855691,neutral
2010-02-04,1078.5375072757888,0.8306457004028619,negative
2010-02-05,1072.4832890259338,0.8445084105823623,positive
2010-02-06,1073.5776070009576,0.8633043234437882,negative
2010-02-07,1063.8292563815587,0.8487941281152653,negative
2010-02-08,1057.2383261370665,0.8365987510434522,neutral
2010-02-09,1058.272632316412,0.8451432125542495,neutral
2010-02-10,1062.014965216389,0.8351213829650938,positive
2010-02-11,1062.921806622339,0.8387481389826884,negative
2010-02-12,1062.3935652103978,0.8538881891026371,neutral
2010-02-13,1060.9380467324513,0.8382612667369397,positive
2010-02-14,1053.5954367806141,0.861126343052033,positive
2010-02-15,1050.0462157386407,0.8492887970916966,neutral
2010-02-16,1047.7930218838417,0.8508559470394452,negative
2010-02-17,1053.1286330149364,0.847216270323921,positive
2010-02-18,1054.8967244627786,0.8577284783854372,neutral
2010-02-19,1046.131523685965,0.85783159887777,positive
2010-02-20,1047.801943532939,0.8533505435191217,neutral
2010-02-21,1045.9265321308574,0.8556478910590765,positive
2010-02-22,1042.5919221293275,0.8478791033007957,negative
2010-02-23,1045.700303573532,0.8554220300690905,positive
2010-02-24,1050.9053011860117,0.8466212222452619,neutral
2010-02-25,1055.6117017815927,0.850022316221624,neutral
2010-02-26,1051.4656141654796,0.847253562506337,neutral
2010-02-27,1049.9695522862235,0.845427814606808,negative
2010-02-28,1051.6758694432413,0.8431088820227821,neutral
2010-03-01,1056.603595078853,0.8546769010385888,neutral
2010-03-02,1054.2577238896265,0.8631060591281347,negative
2010-03-03,1053.3794290063074,0.8617110197166956,neutral
2010-03-04,1047.8977541362774,0.8374343466405456,neutral
2010-03-05,1041.9667210158739,0.8628920305140687,negative
2010-03-06,1046.079350127845,0.8468184149838207,positive
2010-03-07,1052.910550270699,0.8560073301514559,neutral
2010-03-08,1052.6004996627973,0.8409378466795279,positive
2010-03-09,1057.6681641522575,0.85141979913874,negative
2010-03-10,1059.5263442774958,0.8531372318289691,neutral
2010-03-11,1056.35074550447,0.8351539520808035,neutral
2010-03-12,1058.207723532012,0.8560826716634419,negative
2010-03-13,1065.947906364342,0.8634593500783831,neutral
2010-03-14,1065.8187761687923,0.8482535205431837,positive
2010-03-15,1073.6919944478623,0.8636016813082801,positive
2010-03-16,1060.6432689274136,0.848103065065476,negative
2010-03-17,1064.8027814492896,0.8584958453104662,neutral
2010-03-18,1065.2880167904805,0.827814300340489,neutral
2010-03-19,1063.8429800381512,0.8741877777931346,negative
2010-03-20,1064.3517839208287,0.8649545824524295,positive
2010-03-21,1054.4639393478242,0.8471537449574632,positive
2010-03-22,1053.4155799086366,0.8302791097335618,negative
